,StateName,CountyName,rent0,rent1,rent2,rent3,rent4,ZIP,Rent_Mean,year
14328,New York,Kings County,1540,1610,1910,2480,2930,11201,2094.0,2014
14329,New York,Kings County,1070,1110,1320,1720,2020,11202,1448.0,2014
14330,New York,Kings County,1000,1050,1240,1610,1900,11203,1360.0,2014
14331,New York,Kings County,1070,1110,1320,1720,2020,11204,1448.0,2014
14332,New York,Kings County,1260,1320,1560,2030,2390,11205,1712.0,2014
14333,New York,Kings County,900,940,1110,1440,1700,11206,1218.0,2014
14334,New York,Kings County,1010,1050,1250,1630,1920,11207,1372.0,2014
14335,New York,Kings County,1090,1140,1350,1760,2070,11208,1482.0,2014
14336,New York,Kings County,1140,1190,1410,1830,2160,11209,1546.0,2014
14337,New York,Kings County,990,1030,1220,1590,1870,11210,1340.0,2014
14338,New York,Kings County,1220,1270,1510,1960,2310,11211,1654.0,2014
14339,New York,Kings County,960,1000,1190,1550,1820,11212,1304.0,2014
14340,New York,Kings County,960,1000,1190,1550,1820,11213,1304.0,2014
14341,New York,Kings County,990,1040,1230,1600,1890,11214,1350.0,2014
14342,New York,Kings County,1540,1610,1910,2480,2930,11215,2094.0,2014
14343,New York,Kings County,1010,1050,1250,1630,1920,11216,1372.0,2014
14344,New York,Kings County,1550,1620,1920,2500,2940,11217,2106.0,2014
14345,New York,Kings County,1120,1170,1390,1810,2130,11218,1524.0,2014
14346,New York,Kings County,1060,1100,1310,1700,2010,11219,1436.0,2014
14347,New York,Kings County,1070,1110,1320,1720,2020,11220,1448.0,2014
14348,New York,Kings County,1030,1080,1280,1660,1960,11221,1402.0,2014
14349,New York,Kings County,1200,1250,1480,1920,2270,11222,1624.0,2014
14350,New York,Kings County,990,1040,1230,1600,1890,11223,1350.0,2014
14351,New York,Kings County,790,830,980,1270,1500,11224,1074.0,2014
14352,New York,Kings County,950,1000,1180,1530,1810,11225,1294.0,2014
14353,New York,Kings County,1000,1050,1240,1610,1900,11226,1360.0,2014
14354,New York,Kings County,1120,1170,1390,1810,2130,11228,1524.0,2014
14355,New York,Kings County,1010,1050,1250,1630,1920,11229,1372.0,2014
14356,New York,Kings County,1070,1120,1330,1730,2040,11230,1458.0,2014
14357,New York,Kings County,1590,1660,1970,2560,3020,11231,2160.0,2014
14358,New York,Kings County,1130,1180,1400,1820,2150,11232,1536.0,2014
14359,New York,Kings County,1000,1050,1240,1610,1900,11233,1360.0,2014
14360,New York,Kings County,1180,1230,1460,1900,2240,11234,1602.0,2014
14361,New York,Kings County,1030,1080,1280,1660,1960,11235,1402.0,2014
14362,New York,Kings County,1150,1200,1420,1850,2180,11236,1560.0,2014
14363,New York,Kings County,1060,1100,1310,1700,2010,11237,1436.0,2014
14364,New York,Kings County,1220,1270,1510,1960,2310,11238,1654.0,2014
14365,New York,Kings County,1010,1050,1250,1630,1920,11239,1372.0,2014
14366,New York,Kings County,1070,1110,1320,1720,2020,11243,1448.0,2014
14367,New York,Kings County,1070,1110,1320,1720,2020,11247,1448.0,2014
14368,New York,Kings County,1070,1110,1320,1720,2020,11249,1448.0,2014
